sample_id,region,date_start,date_end,flood_label,severity,longitude,latitude,VV_mean,VV_std,VV_min,VV_max,VH_mean,VH_std,VH_min,VH_max,VV_stdDev_mean,VH_stdDev_mean,precipitation_sum,precipitation_mean,precipitation_max,water_occurrence_mean,elevation_mean,slope_mean,region_Jonglei_Flood_Prone,region_Unity_Flood_Prone,region_Upper_Nile_Flood_Prone
62,Jonglei,2023-06-01,2023-08-15,1,moderate,33.404100621605224,7.546004112324885,-9.140463921758434,0.894033709055401,-10.611471486990206,-7.986083242409741,-14.797300673941654,1.1658270508650472,-16.78397440523567,-13.306916630091242,0.894033709055401,1.1658270508650472,410.6681830883026,5.475575923919678,33.541683197021484,0.0,416.44963353894724,1.7557012506203808,1,0,0
63,Jonglei,2023-06-01,2023-08-15,1,moderate,33.127064829148345,7.085616358860248,-9.80032177954286,1.1050773035764212,-11.802430420256721,-8.556011702574938,-15.125234673613809,1.438320814238875,-17.75171344467899,-13.49230801673486,1.1050773035764212,1.438320814238875,349.56148767471313,4.660820007324219,41.41184616088867,0.0,416.8380027926671,1.885424229809145,1,0,0
64,Jonglei,2023-06-01,2023-08-15,1,moderate,32.08230284069102,6.158010106333342,-12.306628956325595,1.572529706206262,-14.383450264585033,-9.809487715124373,-18.58178441498888,2.3419913809043136,-22.080362654425542,-15.026660593675235,1.572529706206262,2.3419913809043136,251.83931398391724,3.3578574657440186,25.477611541748047,0.0,431.8123443197,1.419209377721482,1,0,0
65,Jonglei,2023-06-01,2023-08-15,1,moderate,32.76889317323421,7.34317081956023,-10.982056018049754,2.029590406720768,-13.817507026728792,-8.376963876971336,-17.2444796979689,3.0324181061277162,-21.931526162403312,-14.137448639491188,2.029590406720768,3.0324181061277162,389.3764910697937,5.191686630249023,38.37141799926758,0.0,415.79697339340913,1.9476502151230686,1,0,0
66,Jonglei,2023-06-01,2023-08-15,1,moderate,33.321933082633414,6.860327790643539,-9.782329318083109,1.1162207739708498,-11.523984063653039,-8.25180711003148,-15.269265947337312,1.2414774335152794,-17.16872397760418,-13.508627821013894,1.1162207739708498,1.2414774335152794,367.8938913345337,4.905251979827881,45.391082763671875,0.0,418.4004082441896,1.6297927740995064,1,0,0
67,Jonglei,2023-06-01,2023-08-15,1,moderate,32.42187918450846,7.796657441197697,-12.983157119578133,1.1351020257625568,-14.697144002296753,-11.317859863598107,-19.017427223836012,1.9435814291024707,-22.568471443540183,-16.40292848659251,1.1351020257625568,1.9435814291024707,371.93335914611816,4.95911169052124,28.077301025390625,0.0,411.80133367507085,2.3849556277410966,1,0,0
68,Jonglei,2023-06-01,2023-08-15,1,moderate,32.78957388724255,6.01844675116647,-12.200256135876554,0.6479235470656268,-13.168858542621896,-11.246823715148242,-17.806220215879012,0.7940263699139376,-18.961352385968482,-16.711023302556324,0.6479235470656268,0.7940263699139376,220.43587149514093,2.939144955741035,29.992579142252602,0.0,433.1523892918562,2.3713420893791803,1,0,0
69,Jonglei,2022-07-15,2022-10-31,1,very_high,33.4383036988358,6.511466062266068,-10.028188108221263,1.0305289024636,-11.32921833557195,-7.959617462718205,-15.260650286497219,0.8850217085531024,-16.506115085432228,-13.588559666989054,1.0305289024636,0.8850217085531024,598.4743887111546,5.54142951965332,64.5718231201172,0.8,419.1016152014713,1.7883670977074388,1,0,0
70,Jonglei,2022-07-15,2022-10-31,1,very_high,32.22697080897288,6.069152976800492,-8.074510385390745,1.8849291412933062,-11.857719363523595,-5.693619115204661,-15.177350767747306,1.9248929372044636,-18.226346338019805,-11.854614197045892,1.8849291412933062,1.9248929372044636,464.7373831272125,4.303123950958252,35.03619384765625,0.0,433.07770180308245,1.5675570940698584,1,0,0
71,Jonglei,2022-07-15,2022-10-31,1,very_high,32.10321905583041,6.461746076793287,-10.084711501006003,1.290568916084344,-11.866112252055633,-7.750664939359603,-14.977755976457772,1.7218749684216363,-16.948065621863275,-11.27590593198311,1.290568916084344,1.7218749684216363,442.46147549152374,4.096865653991699,42.15753936767578,0.0,428.7642498962825,1.9045197766012625,1,0,0
